iter	Passed	Remaining
0	0	942
1	1	808
2	2	763
3	2	723
4	3	698
5	4	706
6	4	700
7	5	690
8	6	700
9	6	690
10	7	691
11	8	700
12	9	706
13	10	707
14	11	726
15	11	733
16	12	737
17	13	731
18	13	722
19	14	715
20	15	725
21	16	726
22	17	723
23	17	719
24	18	714
25	18	710
26	19	706
27	20	698
28	20	692
29	21	685
30	21	679
31	22	675
32	22	672
33	23	670
34	24	671
35	24	668
36	25	665
37	26	662
38	26	658
39	27	655
40	27	654
41	28	651
42	29	647
43	29	643
44	30	639
45	30	635
46	31	633
47	31	630
48	32	628
49	32	626
50	33	624
51	34	622
52	34	620
53	35	618
54	35	617
55	36	614
56	36	611
57	37	609
58	38	606
59	38	605
60	39	603
61	39	601
62	40	599
63	40	598
64	41	598
65	42	597
66	42	596
67	43	594
68	44	594
69	44	592
70	45	590
71	45	588
72	46	587
73	46	586
74	47	584
75	48	584
76	48	582
77	49	581
78	49	580
79	50	579
80	51	578
81	51	577
82	52	575
83	52	574
84	53	572
85	53	570
86	54	569
87	54	567
88	55	567
89	55	565
90	56	564
91	57	562
92	57	561
93	58	561
94	58	559
95	59	558
96	59	558
97	60	557
98	61	556
99	61	554
100	62	554
101	62	553
102	63	553
103	64	552
104	64	551
105	65	551
106	65	550
107	66	549
108	67	547
109	67	546
110	68	545
111	68	545
112	69	544
113	70	544
114	70	543
115	71	542
116	71	540
117	72	539
118	72	538
119	73	537
120	73	536
121	74	535
122	74	534
123	75	534
124	76	533
125	76	532
126	77	531
127	77	530
128	78	529
129	79	529
130	79	528
131	80	527
132	80	526
133	81	525
134	82	525
135	82	524
136	83	523
137	83	522
138	84	521
139	84	520
140	85	519
141	85	519
142	86	518
143	87	518
144	87	517
145	88	517
146	88	516
147	89	515
148	90	514
149	90	514
150	91	514
151	92	513
152	92	512
153	93	511
154	93	510
155	94	509
156	94	509
157	95	508
158	95	507
159	96	506
160	97	505
161	97	504
162	98	504
163	98	503
164	99	502
165	99	502
166	100	501
167	101	500
168	101	499
169	102	499
170	102	498
171	103	498
172	104	497
173	104	496
174	105	496
175	105	495
176	106	494
177	106	493
178	107	492
179	108	492
180	108	492
181	109	493
182	110	492
183	111	493
184	111	492
185	112	492
186	113	492
187	113	491
188	114	490
189	114	489
190	115	490
191	117	492
192	117	492
193	118	491
194	118	490
195	119	489
196	119	489
197	120	488
198	121	488
199	121	487
200	122	486
201	122	485
202	123	485
203	124	483
204	124	482
205	124	481
206	125	481
207	126	480
208	126	480
209	127	479
210	128	479
211	128	477
212	129	476
213	129	475
214	130	474
215	130	473
216	131	472
217	131	471
218	131	470
219	132	469
220	132	467
221	132	465
222	133	464
223	133	463
224	134	462
225	134	460
226	134	459
227	135	457
228	135	456
229	135	455
230	136	453
231	136	452
232	137	451
233	137	449
234	137	448
235	138	447
236	138	446
237	139	445
238	139	443
239	139	442
240	140	441
241	140	440
242	140	438
243	141	437
244	141	435
245	141	434
246	142	433
247	142	432
248	143	431
249	143	431
250	144	430
251	144	429
252	145	428
253	145	428
254	146	427
255	146	425
256	146	424
257	147	424
258	148	423
259	148	423
260	148	421
261	149	420
262	149	419
263	150	419
264	150	418
265	151	416
266	151	415
267	151	415
268	152	413
269	152	412
270	152	411
271	153	410
272	153	409
273	154	409
274	154	407
275	154	406
276	155	405
277	155	403
278	155	402
279	156	402
280	156	400
281	156	399
282	157	399
283	157	397
284	158	397
285	158	396
286	159	395
287	159	394
288	160	394
289	160	393
290	161	392
291	161	391
292	162	391
293	162	389
294	162	389
295	163	388
296	163	386
297	163	385
298	164	384
299	164	383
300	164	383
301	165	382
302	165	381
303	166	380
304	166	380
305	167	379
306	167	378
307	168	377
308	168	377
309	169	376
310	169	375
311	170	376
312	171	375
313	171	374
314	172	374
315	172	373
316	173	373
317	173	372
318	174	371
319	174	371
320	175	370
321	175	369
322	175	368
323	176	368
324	176	367
325	177	367
326	178	366
327	178	365
328	178	364
329	179	363
330	179	363
331	180	362
332	180	361
333	180	360
334	181	359
335	181	358
336	181	357
337	182	357
338	182	356
339	183	355
340	183	354
341	183	353
342	184	352
343	184	352
344	184	351
345	185	350
346	185	349
347	185	348
348	186	347
349	186	346
350	187	346
351	187	345
352	188	344
353	188	344
354	188	343
355	189	342
356	189	341
357	189	340
358	190	339
359	190	338
360	190	337
361	191	337
362	191	336
363	192	335
364	192	334
365	192	333
366	192	332
367	193	331
368	193	331
369	194	330
370	194	329
371	194	328
372	194	327
373	195	326
374	195	326
375	195	325
376	196	324
377	196	324
378	197	323
379	197	322
380	197	321
381	198	320
382	198	319
383	198	318
384	199	318
385	199	318
386	200	317
387	201	317
388	201	316
389	202	316
390	202	315
391	203	314
392	203	314
393	204	314
394	204	313
395	204	312
396	204	311
397	205	310
398	206	310
399	206	309
400	207	309
401	207	308
402	208	308
403	208	307
404	209	307
405	209	306
406	210	306
407	210	305
408	211	305
409	211	304
410	212	304
411	212	303
412	213	303
413	213	302
414	214	301
415	214	301
416	215	301
417	215	300
418	216	299
419	216	299
420	217	298
421	217	297
422	217	296
423	217	296
424	218	295
425	218	294
426	219	294
427	220	294
428	220	294
429	221	293
430	221	293
431	222	292
432	222	291
433	222	290
434	223	290
435	223	289
436	225	290
437	225	289
438	226	289
439	226	288
440	227	288
441	228	287
442	228	287
443	229	287
444	229	286
445	230	286
446	230	285
447	231	285
448	231	284
